,index,station.id,station.name,latitude,longitude,boroname,boro
265,266,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,Manhattan,Manhattan
266,267,300,Shevchenko Pl & E 6 St,40.728145,-73.990214,Manhattan,Manhattan
267,268,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Manhattan,East Village
268,269,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Manhattan,East Village
269,270,347,W Houston St & Hudson St,40.72873888,-74.00748842,Manhattan,Manhattan
270,271,335,Washington Pl & Broadway,40.72903917,-73.99404649,Manhattan,New York
271,272,335,Washington Pl & Broadway,40.72903917,-73.99404649,Manhattan,New York
272,273,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Manhattan,Manhattan
273,274,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Manhattan,Manhattan
274,275,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Manhattan,Manhattan
275,276,511,E 14 St & Avenue B,40.72938685,-73.97772429,Manhattan,Manhattan
276,277,511,E 14 St & Avenue B,40.72938685,-73.97772429,Manhattan,Manhattan
277,278,511,E 14 St & Avenue B,40.72938685,-73.97772429,Manhattan,Manhattan
278,279,326,E 11 St & 1 Ave,40.72953837,-73.98426726,Manhattan,Manhattan
279,280,3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,Manhattan,Brooklyn
280,281,3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,Manhattan,Brooklyn
281,282,293,Lafayette St & E 8 St,40.73028666,-73.9907647,Manhattan,Manhattan
282,283,293,Lafayette St & E 8 St,40.73028666,-73.9907647,Manhattan,Manhattan
283,284,293,Lafayette St & E 8 St,40.73028666,-73.9907647,Manhattan,Manhattan
284,285,368,Carmine St & 6 Ave,40.73038599,-74.00214988,Manhattan,Manhattan
285,286,368,Carmine St & 6 Ave,40.73038599,-74.00214988,Manhattan,Manhattan
286,287,368,Carmine St & 6 Ave,40.73038599,-74.00214988,Manhattan,Manhattan
287,288,368,Carmine St & 6 Ave,40.73038599,-74.00214988,Manhattan,Manhattan
288,289,237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan,Manhattan
289,290,237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan,Manhattan
290,291,237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan,Manhattan
291,292,237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan,Manhattan
292,293,237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan,Manhattan
293,294,237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan,Manhattan
294,295,294,Washington Square E,40.73049393,-73.9957214,Manhattan,Manhattan
295,296,127,Barrow St & Hudson St,40.73172428,-74.00674436,Manhattan,Manhattan
296,297,127,Barrow St & Hudson St,40.73172428,-74.00674436,Manhattan,Manhattan
297,298,127,Barrow St & Hudson St,40.73172428,-74.00674436,Manhattan,Manhattan
298,299,127,Barrow St & Hudson St,40.73172428,-74.00674436,Manhattan,Manhattan
299,300,504,1 Ave & E 15 St,40.73221853,-73.98165557,Manhattan,Manhattan
300,301,504,1 Ave & E 15 St,40.73221853,-73.98165557,Manhattan,Manhattan
301,302,504,1 Ave & E 15 St,40.73221853,-73.98165557,Manhattan,Manhattan
302,303,504,1 Ave & E 15 St,40.73222,-73.98166,Manhattan,Manhattan
303,304,483,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan,Manhattan
304,305,483,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan,Manhattan
305,306,483,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan,Manhattan
306,307,483,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan,Manhattan
307,308,3115,India St & Manhattan Ave,40.73232194,-73.9550858,Manhattan,Brooklyn
308,309,357,E 11 St & Broadway,40.73261787,-73.99158043,Manhattan,Manhattan
309,310,357,E 11 St & Broadway,40.73261787,-73.99158043,Manhattan,Manhattan
310,311,357,E 11 St & Broadway,40.73261787,-73.99158043,Manhattan,Manhattan
311,312,358,Christopher St & Greenwich St,40.73291553,-74.00711384,Manhattan,Manhattan
312,313,487,E 20 St & FDR Drive,40.73314259,-73.97573881,Manhattan,Manhattan
313,314,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,Manhattan,Manhattan
314,315,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,Manhattan,Manhattan
315,316,285,Broadway & E 14 St,40.73454567,-73.99074142,Manhattan,Manhattan
316,317,382,University Pl & E 14 St,40.73492695,-73.99200509,Manhattan,Manhattan
317,318,382,University Pl & E 14 St,40.73492695,-73.99200509,Manhattan,Manhattan
318,319,382,University Pl & E 14 St,40.73492695,-73.99200509,Manhattan,Manhattan
319,320,383,Greenwich Ave & Charles St,40.735238,-74.000271,Manhattan,Manhattan
