,station.id,station.name,latitude,longitude,year,index,boro
311,2003,1 Ave & E 18 St,40.733812192,-73.9805442095,2013,312,Manhattan
312,2004,6 Ave & Broome St,40.724399,-74.004704,2013,313,Manhattan
313,2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,2013,314,NY
314,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2013,315,New York
315,2008,Little West St & 1 Pl,40.70569254,-74.01677685,2013,316,Manhattan
316,2009,Catherine St & Monroe St,40.71117444,-73.99682619,2013,317,Manhattan
317,2010,Grand St & Greene St,40.72165481,-74.00234737,2013,318,Manhattan
318,2012,E 27 St & 1 Ave,40.739445,-73.976806,2013,319,Manhattan
319,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,2013,320,Manhattan
320,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,2013,321,Manhattan
321,2022,E 60 St & York Ave,40.759107,-73.959223,2013,322,Manhattan
322,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,2013,323,Manhattan
323,3002,South End Ave & Liberty St,40.711512,-74.015756,2013,324,Manhattan
324,3016,Kent Ave & N 7 St,40.72073,-73.96126,2015,325,Brooklyn
325,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,2015,326,Brooklyn
326,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,2015,327,Brooklyn
327,3043,Lewis Ave & Decatur St,40.6814598,-73.934903,2015,328,Brooklyn
328,3044,Albany Ave & Fulton St,40.6800105,-73.938475,2015,329,Brooklyn
329,3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,2015,330,Brooklyn
330,3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,2015,331,Brooklyn
331,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,2015,332,Brooklyn
332,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,2015,333,Brooklyn
333,3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,2015,334,Brooklyn
334,3052,Lewis Ave & Madison St,40.686312,-73.935775,2015,335,Brooklyn
335,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,2015,336,Brooklyn
336,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,2015,337,Brooklyn
337,3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,2015,338,Brooklyn
338,3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,2015,339,Brooklyn
339,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,2015,340,Brooklyn
340,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,2015,341,Brooklyn
341,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,2015,342,Brooklyn
342,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,2015,343,Brooklyn
343,3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,2015,344,Brooklyn
344,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,2015,345,Brooklyn
345,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,2015,346,Brooklyn
346,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,2015,347,Brooklyn
347,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,2015,348,Brooklyn
348,3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,2015,349,Brooklyn
349,3067,Broadway & Whipple St,40.7016657,-73.9437303,2015,350,Brooklyn
350,3068,Humboldt St & Varet St,40.7031724,-73.940636,2015,351,Brooklyn
351,3069,Lorimer St & Broadway,40.70411791,-73.94818595,2015,352,Brooklyn
352,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,2015,353,Brooklyn
353,3071,Boerum St & Broadway,40.70538077,-73.94976519,2015,354,Brooklyn
354,3072,Leonard St & Boerum St,40.70583339,-73.94644578,2015,355,Brooklyn
355,3073,Division Ave & Hooper St,40.70691254,-73.95441667,2015,356,Brooklyn
356,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,2015,357,Brooklyn
357,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,2015,358,Kings County
358,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,2015,359,Brooklyn
359,3077,Stagg St & Union Ave,40.70877084,-73.95095259,2015,360,Kings County
360,3078,Broadway & Roebling St,40.70925562,-73.95982218,2015,361,Brooklyn
361,3079,Leonard St & Grand St,40.71103537,-73.94714303,2015,362,Brooklyn
362,3080,S 4 St & Rodney St,40.70934,-73.95608,2015,363,Brooklyn
363,3081,Graham Ave & Grand St,40.711863,-73.944024,2015,364,Brooklyn
364,3082,Hope St & Union Ave,40.71167351,-73.95141312,2015,365,Brooklyn
365,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,2015,366,Brooklyn
366,3084,Devoe St & Leonard St,40.71348658,-73.94792458,2015,367,Brooklyn
367,3085,Roebling St & N 4 St,40.71469,-73.95739,2015,368,Brooklyn
368,3086,Graham Ave & Conselyea St,40.715143,-73.944507,2015,369,Brooklyn
369,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,2015,370,Brooklyn
370,3088,Union Ave & Jackson St,40.7160751,-73.952029,2015,371,Brooklyn
371,3089,Leonard St & Meeker Ave,40.7173184039,-73.9482021332,2015,372,Brooklyn
372,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,2015,373,Brooklyn
373,3091,Frost St & Meeker St,40.71764,-73.94882,2015,374,Brooklyn
374,3092,Berry St & N 8 St,40.7190095,-73.95852515,2015,375,Brooklyn
375,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,2015,376,Brooklyn
376,3094,Graham Ave & Withers St,40.7169811,-73.94485918,2015,377,Brooklyn
377,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,2015,378,Brooklyn
378,3096,Union Ave & N 12 St,40.71924,-73.95242,2015,379,Brooklyn
379,3097,N Henry St & Richardson St,40.71921585,-73.9424469,2015,380,Brooklyn
380,3098,Leonard St & Bayard St,40.71928,-73.94861,2015,381,Brooklyn
381,3099,Leonard St & Manhattan Ave,40.7215224034,-73.948982656,2015,382,Brooklyn
382,3100,Nassau Ave & Newell St,40.72481,-73.94753,2015,383,Brooklyn
383,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,2015,384,Brooklyn
