,index,duration,distance
299,7536.0,521.0,2358.0
300,7537.0,233.0,982.0
301,7538.0,233.0,982.0
302,7539.0,369.0,1618.0
303,7540.0,371.0,1543.0
304,7541.0,829.0,3715.0
305,7542.0,161.0,604.0
306,7543.0,229.0,781.0
307,7544.0,511.0,2306.0
308,7545.0,509.0,1874.0
309,7546.0,297.0,1362.0
310,7547.0,729.0,3134.0
311,7548.0,299.0,1458.0
312,7549.0,371.0,1543.0
313,7550.0,371.0,1543.0
314,7551.0,371.0,1543.0
315,7552.0,420.0,1913.0
316,7553.0,468.0,1845.0
317,7554.0,329.0,1630.0
318,7555.0,767.0,2926.0
319,7556.0,490.0,2328.0
320,7557.0,601.0,2512.0
321,7558.0,343.0,1363.0
322,7559.0,161.0,604.0
323,7560.0,536.0,2216.0
324,7561.0,343.0,1363.0
325,7562.0,469.0,1994.0
326,7563.0,469.0,1994.0
327,7564.0,697.0,3092.0
328,7577.0,2294.0,10371.0
329,7578.0,957.0,4170.0
330,7579.0,934.0,4001.0
331,7580.0,1671.0,6592.0
332,7581.0,350.0,1007.0
333,7582.0,220.0,1012.0
334,7583.0,1897.0,7720.0
335,7584.0,732.0,2935.0
336,7585.0,350.0,1007.0
337,7586.0,350.0,1007.0
338,7587.0,220.0,1012.0
339,7588.0,1332.0,5171.0
340,7589.0,550.0,2040.0
341,7590.0,155.0,645.0
342,7591.0,547.0,2367.0
343,7592.0,2304.0,9294.0
344,7598.0,1038.0,4373.0
345,7599.0,1191.0,4884.0
346,7600.0,404.0,1245.0
347,7601.0,389.0,1141.0
348,7602.0,436.0,1861.0
349,7603.0,1365.0,5864.0
350,7604.0,981.0,3999.0
351,7605.0,1406.0,6207.0
352,7606.0,706.0,2826.0
353,7607.0,472.0,1534.0
354,7608.0,1022.0,3990.0
355,7609.0,697.0,3094.0
356,7610.0,797.0,3219.0
357,7611.0,401.0,1121.0
358,7612.0,791.0,3470.0
359,7613.0,917.0,3460.0
360,7614.0,159.0,715.0
361,7615.0,1076.0,4752.0
362,7616.0,872.0,3188.0
363,7617.0,610.0,1916.0
364,7618.0,576.0,2343.0
365,7619.0,423.0,1824.0
366,7620.0,1009.0,4207.0
367,7621.0,328.0,1394.0
368,7622.0,2172.0,9342.0
369,7623.0,423.0,1824.0
370,7624.0,893.0,3828.0
371,7625.0,1456.0,6334.0
372,7626.0,493.0,1443.0
373,7627.0,989.0,4249.0
374,7628.0,1052.0,4450.0
375,7629.0,907.0,3030.0
376,7630.0,706.0,2826.0
377,7631.0,959.0,3973.0
378,7632.0,303.0,1217.0
379,7633.0,329.0,1179.0
380,7634.0,257.0,1158.0
381,7635.0,401.0,1121.0
382,7636.0,978.0,3810.0
383,7637.0,514.0,1648.0
384,7638.0,706.0,2826.0
385,7639.0,493.0,1443.0
